patient_id,first_name,last_name,maternal_surname,date_of_birth,gender,curp,street_address,city,state,zip_code,email,plan_name,plan_code,policy_number,group_id,enrollment_date,is_active,annual_deductible,annual_out_of_pocket_max
P000001,Gerardo,Guevara,Garica,1949-01-25,M,XAVX210621HTSCBC00,Andador Sur Cabán 389 083,Nueva Vietman,CHIH,37940-2654,esmeraldamiramontes@example.org,Essential,ESS,POL16155940,GRP00115,2024-03-25,True,5000,50000
P000002,Omar,Castellanos,Ochoa,1944-12-09,F,HOSI430804HGTRNI02,"Avenida Austria 341 Edif. 316 , Depto. 475",Ensenada,BC,55341,oswaldoguevara@example.org,Essential,ESS,POL76483503,,2024-09-09,True,5000,50000
P000003,Ignacio,Pacheco,Jasso,1944-01-30,F,TIZB150704MCLQDRA4,Viaducto Omán 724 Interior 238,Querétaro,QRO,96965-3287,arreolablanca@example.org,Essential,ESS,POL26916697,GRP00434,2023-03-24,True,5000,50000
P000004,Omar,Jaramillo,Molina,1947-03-02,M,VEYJ600106HMCFQI03,Circuito Sanches 814 893,Nueva Tayikistán,SLP,52880,minerva01@example.com,Standard,STD,POL43039117,,2024-08-29,True,3000,40000
P000005,Martín,Ulloa,de Jesús,1957-08-09,F,WATU101014HMNHSMA4,"Privada Uzbekistán 346 Edif. 578 , Depto. 713",Nueva Sudán del Sur,SLP,15098,rolandogaray@example.org,Essential,ESS,POL10310518,GRP00344,2021-10-08,True,5000,50000
P000006,Yolanda,Ruelas,Gallegos,1976-03-31,M,BIMI930628HJCXNG00,Peatonal Madagascar 116 566,Naucalpan,MEX,01065-1333,bcintron@example.org,Premium,PRM,POL47317810,,2023-11-04,True,1500,30000
P000007,Eva,de la Crúz,Palomo,1972-08-08,M,IEHX340518MTSXQL04,Callejón Ojeda 647 468,Nueva Zimbabwe,SON,23430-9805,arteagarocio@example.com,Premium,PRM,POL88208121,,2023-07-23,True,1500,30000
P000008,Zeferino,Gollum,Páez,1947-09-25,M,UEZV121108MCSQQTA6,Retorno Bonilla 998 Interior 543,Xochimilco,CDMX,34624-7510,gvalladares@example.org,Essential,ESS,POL83842513,GRP00057,2022-06-06,False,5000,50000
P000009,Hermelinda,Tafoya,Aguilera,1984-12-29,M,VAVR731130MQOFMN05,Circuito Burundi 824 493,Vieja República Árabe Siria,MOR,34874-0164,acostaisabela@example.org,Elite,ELT,POL42786801,,2020-12-15,True,0,20000
P000010,Rodolfo,Urías,Cordero,1968-10-21,F,QEQD140608MNEYJE01,"Corredor Gaitán 315 Edif. 869 , Depto. 232",Nueva Kiribati,AGS,60256,gabrielacrespo@example.net,Elite,ELT,POL16073375,,2022-02-08,True,0,20000
