provider_id,provider_name,provider_type,specialty,cedula_profesional,tax_id,street_address,city,state,zip_code,phone,email,network_tier,contract_start_date,contract_end_date,is_accepting_patients,quality_rating
PRV00001,Dr. Noemí Carrión Gallardo,Individual,Radiology,07534727,LONR351129XBK,Cerrada Barbados 993 Interior 916,Nueva Gambia,GRO,92756-6552,(354)347-0422x50540,luis-manuelcisneros@example.org,Out of Network,2024-06-02,2026-06-02,False,4.2
PRV00002,Corporacin Vázquez y Becerra - Xalapa,Clinic,Multi-Specialty Clinic,,VOMX85030128K,"Circuito Norte Godoy 601 Edif. 282 , Depto. 569",Xalapa,VER,96690,(525)879-7845x27424,maresangela@example.net,Tier 2 - Standard,2021-07-17,2022-07-17,True,3.1
PRV00003,Dr. Gloria Otero Medina,Individual,Gastroenterology,78036719,WAMS7408122U5,Cerrada Reyna 477 015,San Timoteo los bajos,CHIS,51157,1-135-788-0240x7164,victor02@example.net,Tier 2 - Standard,2021-02-07,2022-02-07,True,4.4
PRV00004,Dr. Gregorio Rentería Villegas,Individual,Infectious Disease,43811399,PEWW2109042AB,Periférico Namibia 051 Interior 771,Nueva Turquía,SLP,87371-9184,07266214340,anabelaguayo@example.org,Tier 2 - Standard,2016-04-16,2020-04-15,True,3.9
PRV00005,Dr. Celia Arias Marín,Individual,Pediatrics,29796061,GOWN5409192L2,Andador Norte Roque 938 Interior 339,San Cynthia los bajos,SIN,49053,+81(1)8070212657,,Tier 2 - Standard,2024-06-29,2027-06-29,True,4.8
PRV00006,Dr. Eugenio Magaña Baca,Individual,Oncology,44597226,IIWP220702KJF,Eje vial Azerbaiyán 986 917,San Rebeca los bajos,SON,19454-2402,847-405-4225x09623,ontiverosjose-maria@example.org,Tier 2 - Standard,2019-06-13,2024-06-11,False,
PRV00007,Dr. Pilar Castañeda Urrutia,Individual,Ophthalmology,27349795,WAFK181126MCO,"Circunvalación Norte Preciado 216 Edif. 155 , Depto. 051",Mérida,YUC,33819-1103,+14(4)0481809587,,Tier 1 - Preferred,2016-09-14,2017-09-14,True,3.8
PRV00008,Dr. Emilia Beltrán Cruz,Individual,Radiology,32121955,VUHU510625Q1V,Retorno Botello 760 757,San Alonso los bajos,TAB,30292,(156)358-4718x676,vallejoreynaldo@example.com,Tier 2 - Standard,2017-10-22,2019-10-22,True,
PRV00009,Dr. Augusto Vaca Vela,Individual,Cardiology,12430609,MUVP5108150MX,Avenida Querétaro 496 429,Vieja República Democrática Popular Lao,OAX,87101,875-217-5212x957,menendezdiego@example.com,Tier 2 - Standard,2022-04-14,2025-04-13,True,3.2
PRV00010,Espinal-Núñez S.A. de C.V. - Coatzacoalcos,Imaging Center,MRI Center,,PAGB390209IM6,Circuito Castañeda 784 Interior 646,Coatzacoalcos,VER,48620-6146,483.901.5982x082,,Tier 1 - Preferred,2018-01-15,2020-01-15,True,
